id,date,label,text
2,2000-07-21," C-1-2000-07-21 from Turkey/Kenan Tepe/Area C/Trench 1/Locus 1000,","   July 21, 2000      We are working on Area C Trench 1. We measured our 5x5 on the side of the hill. There are only a few prickly weeds were in this section. The work men are digging them out. I am working with Lokman and Ercan. We are removing some top soil. We started at the southeast corner to remove topsoil. Then we hit upon some hard packed soil only about 8cm below the surface. It is flat and follows the plane of the slope. We only had to dig about 2cm on the downhill side. It is more of a crumbly dried mud surface. They are sweeping it. On the southeast corner we seem to have dug into it without initial problem. There are trees growing out of it, roots. This second surface is locus 1001, the topsoil is 1000.   After Carpus for breakfast, we started to dig the southeast corner of 1001. The dry crumbly dirt came apart pretty easy. We dug a quarter of the trench and looked for finds. We found a piece of basalt bowl, kt 1006 in this southeast quarter. And there were some interesting pottery rims.   Once we broke the top of 1001, the top pieces were held together tight so we had to break them up to search for sherds. But under there was more dirt until another solidish surface. We will clear to there to determine if it is a new locus. We got through some of the dirt to another crumbly white surface. In the southeast corner were some small smashed pieces of pottery. We found a snail shell and a funny rock shaped like a nail. We will probably crush through this level.   Tomorrow, I think we should continue digging the corner so we can find a section on the other parts of the trench.           ,~: C-1-2000-07-21 from Turkey/Kenan Tepe/Area C/Trench 1/Locus 1000,"
3,2000-07-21," B-2-2000-07-21 from Turkey/Kenan Tepe/Area B/Trench 2/Locus 2000,","   July 21, 2000      Laid out trench, swept perimeter. the elevation was taken as the average between the highest and lowest points. we started digging locus 2000 in the southern half of the trench. we dug roughly 10cm through the topsoil, which was dry and clumpy. we found many, many pot sherds in this section and one bone fragment. a possible lithic was put in the pottery bag to be washed.      roughly 10 cm down, we hit a harder packed surface, sloping downhill to the west and lighter in color than the topsoil. this extended across the entire southern half of the trench. we didn't open this as a new locus because we had to finish digging the northern half of locus 2000.      the northern half was similar to the southern half except that it was rockier and only about 5cm thick from the surface to the layer of harder packed soil below, which was contiguous with the layer on the southern side. we found many more sherds here, and also a larger bone fragment. we did not entirely finish excavating this section of locus 2000, and so will continue tomorrow before opening locus 2001.      surface find consisting of a large fragment of a stone pot was located 86 cm east and 193 cm north of the southeast corner of the trench. both measurements were taken from the 5 meter trench line, not the 4 meterbalk wall. as the fragment was found outside the trench, it was not given a kt number. the work day ended before an elevation could be taken. it will be taken tomorrow.                    ,~: B-2-2000-07-21 from Turkey/Kenan Tepe/Area B/Trench 2/Locus 2000,"
4,2000-07-21," A-1-2000-07-21 from Turkey/Kenan Tepe/Area A/Trench 1/Locus 1000,","   July 21, 2000      Set up 5 x 5 meter unit with 50 cm bulk. Removed top soil using pick and shovel. Leveled the surface. Started at East half of the unit and dug until 15 cm from surface on south side, 25 cm from surface on north. At this point a new surface (new locus) was exposed. Found loose soil on east wall, but at this point we don't know what . . . possibly a pit? made new KT number for pottery and lithics in west half of unit, but kept same KT number for bone throughout the enitre locus. Found some possible mud bricks, but they might just be compacted mud because they were randomly dispersed, not in order (disturbed). The actual topsoil was about 5 cm, but there was no reason to change the locus and kept excavating until it was uniform depth with east half. Found several flat sherds concentrated on northwest corner of the unit. Possibly reached a surface. We assigned a new KT number for this area's pottery. (KT 1007). Tomorrow: clean the surface and go on to next locus.                    ,~: A-1-2000-07-21 from Turkey/Kenan Tepe/Area A/Trench 1/Locus 1000,"
5,2000-07-21," B-1-2000-07-21 from Turkey/Kenan Tepe/Area B/Trench 1/Locus 1000,","   7/21/2000      After a long time we marked off the square. We dug 10 cm into Locus 1000 an area roughly one third of the square, finding a few bones and some pottery, but no lithics. The topsoil was dark tightly packed soil, with weeds on top.    We let the workers dig about 10 cm too far and too fast. We did not detect the change in soil color until the workmen had cleared the full third of the trench. When they began to dig the rest of the square we found a layer of hard packed, grey clay (which we first believed to be mudbrick), this we named Locus 1001. We spent a few hours clearing the rubble from the trench and scraping the thin dark top soil off the clay layer.   By the end of the day we began clearing the hard packed clay and at the same time trying to level the square. We managed to clean and \level\ 2/3 of the trench, finding numerous pottery sherds in the process.   Due to the chaos of the day we were only able to take one elevation at the beginning of the first locus. We have the opportunity to catch up on elevations tomorrow as the levels have not changed significantly.                                   ,~: B-1-2000-07-21 from Turkey/Kenan Tepe/Area B/Trench 1/Locus 1000,"
6,2000-07-21," C-2-2000-07-21 from Turkey/Kenan Tepe/Area C/Trench 2/Locus 2000,","   July 21, 2000      Workers: Jenghis and Meki. We laid out the grid for the trench and began digging to a depth of 10cm. The soil was loose in composition with a mixed context of pottery. We guessed that most of this pottery is Hellenistic. At 10:30 we found a loomweight. At 10:51 we found a chert core. By lunch time we had two-thirds of the trench dug to a depth of 10cm.        ,~: C-2-2000-07-21 from Turkey/Kenan Tepe/Area C/Trench 2/Locus 2000,"
7,2000-07-22," B-2-2000-07-22 from Turkey/Kenan Tepe/Area B/Trench 2/Locus 2000,","   July 22, 2000      Stone pottery surface find is at elevation zero (2.57) according to the line leveling method which was changed to stadia rod measurements today. Elevations taken on 7/21 were adjusted and recorded in the notebook according to the stadia rod measurements.      Potsherds were ecenly distributed throughout the loci and most pieces were 1.5 cm thick. We dug 10 cm on the southern side in soil which was densley packed mud wash. This continued so we began digging the eastern side of the trench in an attempt to level it. We swept things clean and no new locus appeared so we dug another 15 cm.      After digging these 15 cm we encountered a large body sherd .5 m SW from the NE corner. We searched for more fragments, but didn_验t find anything else. Later as we were cleaning and straightening the balk wall in this area we found a pot smash which this earlier sherd seemede to fit. We estimate the pot was 10 cm below the previous sherd. We are working on cleaning the area and leveling it for photographing tomorrow. The pot is 19 cm off the E wall and 47 cm off the N wall. A rough size estimate of the debris field which is colsely articulated is 32 cm wide and 34 cm long. When it is more fully unearthed tomorrow we will get more specific meaurements.      Also midway along the E wall were large stones which appeared to be cut and were at the same level as the pot. We will look for a possible suface tomorrow in this area and 2-4 cm below the pot and rocks.     ,~: B-2-2000-07-22 from Turkey/Kenan Tepe/Area B/Trench 2/Locus 2000,"
8,2000-07-22," A-1-2000-07-22 from Turkey/Kenan Tepe/Area A/Trench 1/Locus 1000,","   July 22, 2000      Finished the NW corner of Locus 1000; cleaned the surface and took a photo. Measured the elevation of the original surface and the final surface of Locus 1000. Measured small finds and took elevations for them. Drew a plan view. East side of the unit was mainly loose sand; west side was compacted sand and silt. We therefore decided to divide the trench into two Locii. East side was assigned Locus # 1001 (loose soil). West side assigned Locus #1002 (compacted layer).       Locus 1001 was thought to contain several pits, but decided to excavate through and see if definite shapes would emerge. Found an obsidian fragment at the center of the trench (KT 1015). Picked up the bone in the northeast corner and assigned it KT# 1016. We leveled the locus at 40 cm below the original surface. After exposing the surface, it was obvious that the loose soil had been created by animal activity. This completed Locus 1001.      After determining that there were no pits in Locus 1001, we decided to excavate Locus 1002 (Western portion) and level it with the completed 1001. Picked up the concentration of small pottery as a small find (KT 1019). Used pick and shovel to take down the rest of Locus 1002. The northwest corner revealed a row of straight mud bricks. Looks to be a wall.           ,~: A-1-2000-07-22 from Turkey/Kenan Tepe/Area A/Trench 1/Locus 1000,"
9,2000-07-22," C-2-2000-07-22 from Turkey/Kenan Tepe/Area C/Trench 2/Locus 2000,","   July 22, 2000      began by cleaning trench. we will continue to excavate L2000 (topsoil layer). We will open a new locus L2001 (though the soil color and texture appears to be the same), knowing that we have removed the topsoil.   At 8 am we opened L2001. It appears to be the same as L2000. Looking at the stratigraphy there is a definite topsoil layer only 4 cm deep. Everything below that at our current depth of 34 cm (at the east wall baulk) appears to be one stratigraphic layer. The top of L2001 appears to be a mudslide with pockets of loose soil impinging a majority of tightly packed a majority of tightly packed soil (ie the mudslide). The loose soil might be caused by rodent burrowing, but more likely is caused by tree roots. Just below the surface of the trench one can see 6 or 7 small tree stumps.   At 47 cm below the surface, we have uncovered a small rock alignment made up of 2 large stones. White pebbles of plaster (perhaps) are found in the immediate area (about 0.5 meter radius).   We began digging L2002 at 10:25. L2002 appears to be the same as 2001, except for a rock alignment which is made up of 2 river stones about 20 cm in diameter at our present height. These lie atop packed dirt. We have yet to see the extent of this wall by the time we closed for the day. We will start tomorrow by excavating around the wall to find it_验s extent.        ,~: C-2-2000-07-22 from Turkey/Kenan Tepe/Area C/Trench 2/Locus 2000,"
10,2000-07-23," C-1-2000-07-23 from Turkey/Kenan Tepe/Area C/Trench 1/Locus 1002,","   July 23, 2000      We have the pot smash in the middle of the East side and the rock garden in the middle of the South side. We started the day by dropping the area between the rock garden and the pot smash. And also taking out the crumbly topsoil on the North half. There are a few more pieces of pottery around the smash. There is a larger piece 1/4 of the way from the west on the North bulk. It is buried deep and has a wavy side. We found some bone on the North side.   We took a photo of the East smash. Then we sent our workmen working on leveling the West side of the trench. We want to end up with a flat surface on the downhill (West side) that we can clean. There continued to be large pieces of pottery strewn about our trench. We just found a large piece on the west side. We will create a step trench. The rock garden which Elvan is clearing appears to extend North. The funny thing is we find few rocks directly East. There are a lot of medium size rocks around the big rocks. To me that says the rocks were placed there on purpose.   The solid in the downhill (NW) side is beginning to be a little less packed. Some different coloration on the deepest part near the middle of the entire trench on the uphill side of our flat trench. On the North wall there are some large pieces of pottery we have kept in place. I will open 1003 on the rock garden because there are so many rocks around. Just West of the rock garden are a lot of small sherds and stones.   We started to go towards the middle and there were some more large sherds and some rocks, and we removed the big rock in the middle. We got a nice level surface down at the bottom. Then we started towards the rock garden. First we wanted to level from the Southwest corner along the wall to the rock garden. There were some nice rims so we opened KT 1029. We will go until I think it was a new locus (1003), the rock garden. Also we leveled the center to the higher step. The trench is on two level steps. In the southeast corner between the rock garden and the pottery smash is very long and has a nice complete rim, which may connect the two. It seems a nice pot and I want to dig it up.        ,~: C-1-2000-07-23 from Turkey/Kenan Tepe/Area C/Trench 1/Locus 1002,"
11,2000-07-23," A-1-2000-07-23 from Turkey/Kenan Tepe/Area A/Trench 1/Locus 1002,","         July 23, 2000       Since David was sick, I had to do all my work by myself, so if things start to make no sense, this is the day that all begin. Anyway, I started out by cleaning the surface of both Locus 1001 &amp; 1002. Exposed the possible mud-brick wall, but it was cut off near the west wall (Possible two mud-brick in line). There were several large rocks in locus 1002, and seemed to be in line, from N-S, near the North wall. (However, there were no large rocks in locus 1001). Elevation of these rocks and mud bricks were between margin of 2-3 cm difference.     After finishing lcus 1001 and 1002, I decided to divide the trench into 4 corner. East side (2m x 4m) as locus 1003, SW (2m x 2m) as 1006, and NW (2m x 2m) as 1004. We did not excavate 1004 and 1006 today. Locus 1003 was excavated by using pick and shovels and approx 15 cm of soil was removed. There wa a flat lying rocks below 1003, this might be a wall, or possible cover for coffin. After cleaning the surface, possible pit, lined by (possible) Mud-brick was found. This pit was directly below the possible pit in locus 1001 (check KT 1016) Assigned locus 1005 for this possible burial.     I tried to follow the wall of the pit to excavate the pit, on East side of the pit, the soil was more loose and easy to define, but the soil of west side was not clearly distinguishable from the wall of the pit. Within this pit, We found several pieces of bones, animal and possible human, and pottery was scattered throughout the pit. This indicate that if this was a burial, it has been disturbed; or, I have not dig down deep enough. We screened approx 80 % of the soil to see what's in the burial.         ,~: A-1-2000-07-23 from Turkey/Kenan Tepe/Area A/Trench 1/Locus 1002,"
